y,h
0.1638,588.396
0.1626,588.397
0.1614,588.398
0.1602,588.399
0.159,588.401
0.1578,588.402
0.1566,588.403
0.1554,588.404
0.1542,588.405
0.153,588.406
0.1518,588.408
0.1506,588.409
0.1494,588.41
0.1482,588.411
0.147,588.412
0.1458,588.413
0.1446,588.415
0.1434,588.416
0.1422,588.417
0.141,588.418
0.1398,588.419
0.1386,588.42
0.1374,588.422
0.1362,588.423
0.135,588.424
0.1338,588.425
0.1326,588.426
0.1314,588.427
0.1302,588.428
0.129,588.43
0.1278,588.431
0.1266,588.432
0.1254,588.433
0.1242,588.434
0.123,588.435
0.1218,588.437
0.1206,588.438
0.1194,588.439
0.1182,588.44
0.117,588.441
0.1158,588.442
0.1146,588.444
0.1134,588.445
0.1122,588.446
0.111,588.447
0.1098,588.448
0.1086,588.449
0.1074,588.45
0.1062,588.452
0.105,588.453
0.1038,588.454
0.1026,588.455
0.1014,588.456
0.1002,588.457
0.099,588.459
0.0978,588.46
0.0966,588.461
0.0954,588.462
0.0942,588.463
0.093,588.464
0.0918,588.466
0.0906,588.467
0.0894,588.468
0.0882,588.469
0.087,588.47
0.0858,588.471
0.0846,588.473
0.0834,588.474
0.0822,588.475
0.081,588.476
0.0798,588.477
0.0786,588.478
0.0774,588.479
0.0762,588.481
0.075,588.482
0.0738,588.483
0.0726,588.484
0.0714,588.485
0.0702,588.486
0.069,588.488
0.0678,588.489
0.0666,588.49
0.0654,588.491
0.0642,588.492
0.063,588.493
0.0618,588.495
0.0606,588.496
0.0594,588.497
0.0582,588.498
0.057,588.499
0.0558,588.5
0.0546,588.501
0.0534,588.503
0.0522,588.504
0.051,588.505
0.0498,588.506
0.0486,588.507
0.0474,588.508
0.0462,588.51
0.045,588.511
0.0438,588.512
0.0426,588.513
0.0414,588.514
0.0402,588.515
0.039,588.517
0.0378,588.518
0.0366,588.519
0.0354,588.52
0.0342,588.521
0.033,588.522
0.0318,588.524
0.0306,588.525
0.0294,588.526
0.0282,588.527
0.027,588.528
0.0258,588.529
0.0246,588.53
0.0234,588.532
0.0222,588.533
0.021,588.534
0.0198,588.535
0.0186,588.536
0.0174,588.537
0.0162,588.539
0.015,588.54
0.0138,588.541
0.0126,588.542
0.0114,588.543
0.0102,588.544
0.009,588.546
0.0078,588.547
0.0066,588.548
0.0054,588.549
0.0042,588.55
0.003,588.551
0.0018,588.552
0.0006,389.036
