#Time Total flux(top) flux(bottom)
145164960 7.868683035e-05 0 7.74965136e-22
151476480 7.819175422e-05 0 1.84270673e-21
157788000 7.769979296e-05 0 4.191160225e-21
164099520 7.721092696e-05 0 9.145293515e-21
170411040 7.672513672e-05 0 1.919550999e-20
176722560 7.624240284e-05 0 3.884942638e-20
183034080 7.576270601e-05 0 7.598070338e-20
189345600 7.528602695e-05 0 1.438883307e-19
195657120 7.48123464e-05 0 2.643325138e-19
201968640 7.434164505e-05 0 4.718624939e-19
208280160 7.38739034e-05 0 8.197895958e-19
214591680 7.340910167e-05 0 1.388176731e-18
220903200 7.294721955e-05 0 2.294204506e-18
227214720 7.248823595e-05 0 3.705226153e-18
233526240 7.203212864e-05 0 5.854733369e-18
239837760 7.157887374e-05 0 9.061321138e-18
246149280 7.112844518e-05 0 1.375056473e-17
252460800 7.068081391e-05 0 2.047951404e-17
258772320 7.023594702e-05 0 2.996328193e-17
265083840 6.979380669e-05 0 4.310296978e-17
271395360 6.935434895e-05 0 6.101395431e-17
277706880 6.891752228e-05 0 8.505337229e-17
284018400 6.848326607e-05 0 1.168455021e-16
290329920 6.805150893e-05 0 1.58303667e-16
296641440 6.762216691e-05 0 2.116472833e-16
302952960 6.719514156e-05 0 2.794127519e-16
309264480 6.677031813e-05 0 3.644570415e-16
315576000 6.634756359e-05 0 4.699530297e-16
321887520 6.592672487e-05 0 5.99375941e-16
328199040 6.550762714e-05 0 7.564805358e-16
334510560 6.509007231e-05 0 9.452690383e-16
340822080 6.467383777e-05 0 1.169950136e-15
347133600 6.425867543e-05 0 1.434889708e-15
353445120 6.384431102e-05 0 1.744554242e-15
359756640 6.343044391e-05 0 2.103448158e-15
366068160 6.301674718e-05 0 2.516046451e-15
372379680 6.260286825e-05 0 2.986724237e-15
378691200 6.218842989e-05 0 3.519684842e-15
385002720 6.177303166e-05 0 4.118888116e-15
391314240 6.135625181e-05 0 4.787980629e-15
397625760 6.093764963e-05 0 5.530229293e-15
403937280 6.051676809e-05 0 6.348459843e-15
410248800 6.009313691e-05 0 7.245001443e-15
416560320 5.966627589e-05 0 8.22163848e-15
422871840 5.923569856e-05 0 9.279570389e-15
429183360 5.880091593e-05 0 1.041938014e-14
435494880 5.836144047e-05 0 1.164101181e-14
441806400 5.791679014e-05 0 1.294375736e-14
448117920 5.746649246e-05 0 1.432625266e-14
454429440 5.701008856e-05 0 1.578648249e-14
460740960 5.65471371e-05 0 1.732179422e-14
467052480 5.607721812e-05 0 1.892891943e-14
473364000 5.559993667e-05 0 2.060400306e-14
479675520 5.511492621e-05 0 2.234263915e-14
485987040 5.462185175e-05 0 2.413991245e-14
492298560 5.412041275e-05 0 2.599044491e-14
498610080 5.361034557e-05 0 2.788844624e-14
504921600 5.309142575e-05 0 2.982776766e-14
511233120 5.256346976e-05 0 3.180195777e-14
517544640 5.202633649e-05 0 3.380431985e-14
523856160 5.147992837e-05 0 3.582796974e-14
530167680 5.092419206e-05 0 3.786589342e-14
536479200 5.035911884e-05 0 3.991100373e-14
542790720 4.978474458e-05 0 4.195619544e-14
549102240 4.920114945e-05 0 4.39943983e-14
555413760 4.860845725e-05 0 4.601862739e-14
561725280 4.800683445e-05 0 4.802203045e-14
568036800 4.739648895e-05 0 4.999793187e-14
574348320 4.677766863e-05 0 5.193987305e-14
580659840 4.615065956e-05 0 5.384164887e-14
586971360 4.551578409e-05 0 5.569734032e-14
593282880 4.487339878e-05 0 5.750134298e-14
599594400 4.422389209e-05 0 5.924839154e-14
605905920 4.356768198e-05 0 6.09335803e-14
612217440 4.290521348e-05 0 6.255237975e-14
618528960 4.223695603e-05 0 6.410064931e-14
624840480 4.156340092e-05 0 6.557464644e-14
631152000 4.088505864e-05 0 6.697103234e-14
637463520 4.020245616e-05 0 6.828687423e-14
643775040 3.951613433e-05 0 6.951964472e-14
650086560 3.882664525e-05 0 7.066721828e-14
656398080 3.813454967e-05 0 7.172786512e-14
662709600 3.74404145e-05 0 7.270024277e-14
669021120 3.674481037e-05 0 7.358338555e-14
675332640 3.604830926e-05 0 7.437669214e-14
681644160 3.535148225e-05 0 7.507991165e-14
687955680 3.46548974e-05 0 7.569312816e-14
694267200 3.395911768e-05 0 7.62167443e-14
700578720 3.326469907e-05 0 7.665146367e-14
706890240 3.257218876e-05 0 7.699827275e-14
713201760 3.18821235e-05 0 7.72584221e-14
719513280 3.119502805e-05 0 7.743340727e-14
725824800 3.051141379e-05 0 7.752494951e-14
732136320 2.983177742e-05 0 7.753497646e-14
738447840 2.915659986e-05 0 7.746560285e-14
744759360 2.848634517e-05 0 7.731911154e-14
751070880 2.78214597e-05 0 7.70979348e-14
757382400 2.716237131e-05 0 7.680463602e-14
763693920 2.650948872e-05 0 7.644189194e-14
770005440 2.586320094e-05 0 7.601247556e-14
776316960 2.522387688e-05 0 7.551923976e-14
782628480 2.4591865e-05 0 7.496510255e-14
788940000 2.396749309e-05 0 7.435302781e-14
795251520 2.335106812e-05 0 7.368601539e-14
801563040 2.274287623e-05 0 7.296708692e-14
807874560 2.214318274e-05 0 7.219927244e-14
814186080 2.155223226e-05 0 7.138559858e-14
820497600 2.097024888e-05 0 7.052907758e-14
826809120 2.039743643e-05 0 6.963269718e-14
833120640 1.983397877e-05 0 6.869941128e-14
839432160 1.928004017e-05 0 6.773213143e-14
845743680 1.873576573e-05 0 6.673371901e-14
852055200 1.820128181e-05 0 6.570697829e-14
858366720 1.767669655e-05 0 6.465465017e-14
864678240 1.716210037e-05 0 6.35794066e-14
870989760 1.665756657e-05 0 6.24838458e-14
877301280 1.616315189e-05 0 6.137048796e-14
883612800 1.567889712e-05 0 6.024177175e-14
889924320 1.520482771e-05 0 5.910005126e-14
896235840 1.474095442e-05 0 5.794759363e-14
902547360 1.428727397e-05 0 5.678657709e-14
908858880 1.384376967e-05 0 5.561908957e-14
915170400 1.341041209e-05 0 5.444712775e-14
921481920 1.298715971e-05 0 5.327259647e-14
927793440 1.257395958e-05 0 5.209730867e-14
934104960 1.217074797e-05 0 5.092298553e-14
940416480 1.177745098e-05 0 4.975125707e-14
946728000 1.139398523e-05 0 4.858366299e-14
953039520 1.102025845e-05 0 4.742165378e-14
959351040 1.065617009e-05 0 4.626659211e-14
965662560 1.030161193e-05 0 4.511975441e-14
971974080 9.95646866e-06 0 4.398233264e-14
978285600 9.620618457e-06 0 4.28554363e-14
984597120 9.293933531e-06 0 4.174009446e-14
990908640 8.976280661e-06 0 4.063725805e-14
997220160 8.667521717e-06 0 3.954780218e-14
1003531680 8.367514158e-06 0 3.847252857e-14
1009843200 8.076111514e-06 0 3.741216805e-14
1016154720 7.793163849e-06 0 3.636738314e-14
1022466240 7.518518203e-06 0 3.533877062e-14
1028777760 7.25201902e-06 0 3.432686417e-14
1035089280 6.993508546e-06 0 3.333213702e-14
1041400800 6.742827223e-06 0 3.235500459e-14
1047712320 6.499814051e-06 0 3.139582711e-14
1054023840 6.264306936e-06 0 3.045491229e-14
1060335360 6.036143021e-06 0 2.953251784e-14
1066646880 5.815158998e-06 0 2.86288541e-14
1072958400 5.601191398e-06 0 2.774408654e-14
1079269920 5.394076869e-06 0 2.687833821e-14
1085581440 5.193652435e-06 0 2.603169221e-14
1091892960 4.999755734e-06 0 2.520419402e-14
1098204480 4.812225251e-06 0 2.439585382e-14
1104516000 4.630900519e-06 0 2.360664873e-14
1110827520 4.455622319e-06 0 2.2836525e-14
1117139040 4.286232859e-06 0 2.20854001e-14
1123450560 4.122575942e-06 0 2.135316478e-14
1129762080 3.964497111e-06 0 2.063968499e-14
1136073600 3.811843796e-06 0 1.994480385e-14
1142385120 3.664465437e-06 0 1.926834338e-14
1148696640 3.522213597e-06 0 1.86101063e-14
1155008160 3.384942069e-06 0 1.796987772e-14
1161319680 3.252506965e-06 0 1.734742666e-14
1167631200 3.124766796e-06 0 1.674250765e-14
1173942720 3.001582551e-06 0 1.615486217e-14
1180254240 2.882817751e-06 0 1.558421999e-14
1186565760 2.768338506e-06 0 1.503030055e-14
1192877280 2.658013563e-06 0 1.449281414e-14
1199188800 2.551714339e-06 0 1.397146313e-14
1205500320 2.449314951e-06 0 1.346594307e-14
1211811840 2.350692242e-06 0 1.297594371e-14
1218123360 2.255725795e-06 0 1.250115004e-14
1224434880 2.164297941e-06 0 1.204124319e-14
1230746400 2.076293768e-06 0 1.15959013e-14
1237057920 1.991601116e-06 0 1.116480036e-14
1243369440 1.910110574e-06 0 1.074761494e-14
1249680960 1.831715466e-06 0 1.034401894e-14
1255992480 1.756311838e-06 0 9.953686212e-15
1262304000 1.683798442e-06 0 9.576291205e-15
