z,theta
134.0355,0.0999014125237
134.0405,0.0998696937546
134.0455,0.0998385621826
134.0505,0.0998080072248
134.0555,0.0997780184798
134.0605,0.099748585724
134.0655,0.09971969891
134.0705,0.0996913481628
134.0755,0.0996635237778
134.0805,0.0996362162177
134.0855,0.0996094161104
134.0905,0.0995831142457
134.0955,0.0995573015732
134.1005,0.0995319691999
134.1055,0.0995071083872
134.1105,0.0994827105489
134.1155,0.0994587672484
134.1205,0.0994352701966
134.1255,0.0994122112495
134.1305,0.0993895824055
134.1355,0.0993673758037
134.1405,0.0993455837212
134.1455,0.0993241985707
134.1505,0.099303212899
134.1555,0.0992826193839
134.1605,0.099262410833
134.1655,0.0992425801807
134.1705,0.0992231204868
134.1755,0.0992040249338
134.1805,0.0991852868257
134.1855,0.099166899585
134.1905,0.0991488567515
134.1955,0.0991311519802
134.2005,0.0991137790391
134.2055,0.0990967318074
134.2105,0.0990800042739
134.2155,0.0990635905349
134.2205,0.0990474847925
134.2255,0.0990316813527
134.2305,0.0990161746239
134.2355,0.0990009591147
134.2405,0.0989860294329
134.2455,0.098971380283
134.2505,0.0989570064653
134.2555,0.0989429028738
134.2605,0.0989290644946
134.2655,0.0989154864046
134.2705,0.0989021637698
134.2755,0.0988890918438
134.2805,0.098876265966
134.2855,0.0988636815607
134.2905,0.098851334135
134.2955,0.0988392192779
134.3005,0.0988273326586
134.3055,0.098815670025
134.3105,0.0988042272027
134.3155,0.0987930000934
134.3205,0.0987819846733
134.3255,0.0987711769926
134.3305,0.0987605731733
134.3355,0.0987501694084
134.3405,0.0987399619609
134.3455,0.0987299471619
134.3505,0.09872012141
134.3555,0.0987104811697
134.3605,0.0987010229706
134.3655,0.0986917434058
134.3705,0.0986826391314
134.3755,0.0986737068646
134.3805,0.0986649433834
134.3855,0.0986563455249
134.3905,0.0986479101845
134.3955,0.0986396343152
134.4005,0.0986315149257
134.4055,0.0986235490804
134.4105,0.0986157338976
134.4155,0.098608066549
134.4205,0.0986005442588
134.4255,0.0985931643023
134.4305,0.0985859240052
134.4355,0.0985788207432
134.4405,0.09857185194
134.4455,0.0985650150677
134.4505,0.0985583076449
134.4555,0.0985517272363
134.4605,0.0985452714521
134.4655,0.0985389379466
134.4705,0.0985327244178
134.4755,0.0985266286067
134.4805,0.0985206482961
134.4855,0.0985147813101
134.4905,0.0985090255135
134.4955,0.0985033788107
134.5005,0.0984978391453
134.5055,0.0984924044991
134.5105,0.0984870728916
134.5155,0.0984818423794
134.5205,0.0984767110552
134.5255,0.0984716770474
134.5305,0.0984667385193
134.5355,0.0984618936688
134.5405,0.0984571407271
134.5455,0.0984524779587
134.5505,0.0984479036607
134.5555,0.0984434161617
134.5605,0.098439013822
134.5655,0.0984346950323
134.5705,0.0984304582136
134.5755,0.0984263018166
134.5805,0.0984222243209
134.5855,0.0984182242345
134.5905,0.0984143000936
134.5955,0.0984104504618
134.6005,0.0984066739297
134.6055,0.0984029691143
134.6105,0.0983993346585
134.6155,0.098395769231
134.6205,0.0983922715251
134.6255,0.098388840259
134.6305,0.0983854741748
134.6355,0.0983821720383
134.6405,0.0983789326387
134.6455,0.0983757547877
134.6505,0.0983726373194
134.6555,0.0983695790902
134.6605,0.0983665789776
134.6655,0.0983636358804
134.6705,0.0983607487182
134.6755,0.098357916431
134.6805,0.0983551379785
134.6855,0.0983524123404
134.6905,0.0983497385153
134.6955,0.0983471155209
134.7005,0.0983445423933
134.7055,0.0983420181868
134.7105,0.0983395419737
134.7155,0.0983371128437
134.7205,0.0983347299035
134.7255,0.098332392277
134.7305,0.0983300991044
134.7355,0.0983278495422
134.7405,0.0983256427629
134.7455,0.0983234779546
134.7505,0.0983213543207
134.7555,0.0983192710797
134.7605,0.0983172274648
134.7655,0.0983152227239
134.7705,0.0983132561188
134.7755,0.0983113269256
134.7805,0.0983094344338
134.7855,0.0983075779465
134.7905,0.0983057567799
134.7955,0.0983039702633
134.8005,0.0983022177386
134.8055,0.09830049856
134.8105,0.0982988120942
134.8155,0.0982971577196
134.8205,0.0982955348267
134.8255,0.0982939428173
134.8305,0.0982923811046
134.8355,0.0982908491129
134.8405,0.0982893462774
134.8455,0.098287872044
134.8505,0.0982864258692
134.8555,0.0982850072197
134.8605,0.0982836155723
134.8655,0.0982822504138
134.8705,0.0982809112406
134.8755,0.0982795975587
134.8805,0.0982783088836
134.8855,0.0982770447398
134.8905,0.0982758046608
134.8955,0.0982745881893
134.9005,0.0982733948762
134.9055,0.0982722242811
134.9105,0.0982710759722
134.9155,0.0982699495255
134.9205,0.0982688445253
134.9255,0.0982677605638
134.9305,0.0982666972406
134.9355,0.0982656541635
134.9405,0.0982646309471
134.9455,0.0982636272138
134.9505,0.0982626425929
134.9555,0.0982616767208
134.9605,0.0982607292409
134.9655,0.0982597998033
134.9705,0.0982588880647
134.9755,0.0982579936884
134.9805,0.098257116344
134.9855,0.0982562557075
134.9905,0.0982554114609
134.9955,0.0982545832924
135.0005,0.0982537708961
135.0055,0.0982529739718
135.0105,0.098252192225
135.0155,0.098251425367
135.0205,0.0982506731143
135.0255,0.0982499351891
135.0305,0.0982492113187
135.0355,0.0982485012355
135.0405,0.0982478046771
135.0455,0.0982471213861
135.0505,0.09824645111
135.0555,0.098245793601
135.0605,0.0982451486162
135.0655,0.098244515917
135.0705,0.0982438952698
135.0755,0.0982432864449
135.0805,0.0982426892174
135.0855,0.0982421033665
135.0905,0.0982415286756
135.0955,0.0982409649322
135.1005,0.098240411928
135.1055,0.0982398694584
135.1105,0.0982393373229
135.1155,0.0982388153247
135.1205,0.0982383032709
135.1255,0.098237800972
135.1305,0.0982373082423
135.1355,0.0982368248997
135.1405,0.0982363507654
135.1455,0.098235885664
135.1505,0.0982354294236
135.1555,0.0982349818754
135.1605,0.0982345428539
135.1655,0.0982341121967
135.1705,0.0982336897445
135.1755,0.0982332753412
135.1805,0.0982328688333
135.1855,0.0982324700706
135.1905,0.0982320789056
135.1955,0.0982316951935
135.2005,0.0982313187924
135.2055,0.0982309495631
135.2105,0.098230587369
135.2155,0.0982302320761
135.2205,0.098229883553
135.2255,0.0982295416707
