y,theta,thetaMatrix
0.1995,0.0175978,0.30109
0.2005,0.0176671,0.301506
0.2015,0.0177355,0.301919
0.2025,0.017803,0.302329
0.2035,0.0178696,0.302737
0.2045,0.0179353,0.303142
0.2055,0.0180002,0.303545
0.2065,0.0180642,0.303945
0.2075,0.0181274,0.304342
0.2085,0.0181898,0.304736
0.2095,0.0182514,0.305128
0.2105,0.0183122,0.305518
0.2115,0.0183722,0.305904
0.2125,0.0184315,0.306288
0.2135,0.01849,0.30667
0.2145,0.0185478,0.307048
0.2155,0.0186048,0.307425
0.2165,0.0186611,0.307798
0.2175,0.0187168,0.308169
0.2185,0.0187717,0.308538
0.2195,0.018826,0.308904
0.2205,0.0188796,0.309267
0.2215,0.0189326,0.309628
0.2225,0.0189849,0.309986
0.2235,0.0190366,0.310342
0.2245,0.0190876,0.310695
0.2255,0.0191381,0.311046
0.2265,0.0191879,0.311394
0.2275,0.0192372,0.31174
0.2285,0.0192858,0.312083
0.2295,0.0193339,0.312424
0.2305,0.0193815,0.312763
0.2315,0.0194284,0.313099
0.2325,0.0194749,0.313432
0.2335,0.0195207,0.313764
0.2345,0.0195661,0.314092
0.2355,0.0196109,0.314419
0.2365,0.0196552,0.314743
0.2375,0.0196991,0.315065
0.2385,0.0197424,0.315385
0.2395,0.0197852,0.315702
0.2405,0.0198275,0.316017
0.2415,0.0198694,0.31633
0.2425,0.0199108,0.31664
0.2435,0.0199517,0.316949
0.2445,0.0199922,0.317255
0.2455,0.0200322,0.317559
0.2465,0.0200718,0.31786
0.2475,0.020111,0.31816
0.2485,0.0201497,0.318457
0.2495,0.020188,0.318753
0.2505,0.0202259,0.319046
0.2515,0.0202634,0.319337
0.2525,0.0203005,0.319626
0.2535,0.0203372,0.319913
0.2545,0.0203735,0.320198
0.2555,0.0204094,0.320481
0.2565,0.020445,0.320762
0.2575,0.0204801,0.321041
0.2585,0.0205149,0.321318
0.2595,0.0205494,0.321594
0.2605,0.0205834,0.321867
0.2615,0.0206172,0.322138
0.2625,0.0206505,0.322407
0.2635,0.0206836,0.322675
0.2645,0.0207163,0.322941
0.2655,0.0207486,0.323204
0.2665,0.0207807,0.323466
0.2675,0.0208124,0.323727
0.2685,0.0208438,0.323985
0.2695,0.0208748,0.324242
0.2705,0.0209056,0.324497
0.2715,0.0209361,0.32475
0.2725,0.0209662,0.325001
0.2735,0.0209961,0.325251
0.2745,0.0210257,0.325499
0.2755,0.021055,0.325745
0.2765,0.021084,0.32599
0.2775,0.0211127,0.326233
0.2785,0.0211411,0.326474
0.2795,0.0211693,0.326714
0.2805,0.0211972,0.326952
0.2815,0.0212248,0.327189
0.2825,0.0212522,0.327424
0.2835,0.0212793,0.327657
0.2845,0.0213061,0.327889
0.2855,0.0213327,0.32812
0.2865,0.0213591,0.328349
0.2875,0.0213852,0.328576
0.2885,0.0214111,0.328802
0.2895,0.0214367,0.329026
0.2905,0.0214621,0.32925
0.2915,0.0214872,0.329471
0.2925,0.0215122,0.329691
0.2935,0.0215369,0.32991
0.2945,0.0215613,0.330127
0.2955,0.0215856,0.330343
0.2965,0.0216096,0.330558
0.2975,0.0216335,0.330771
0.2985,0.0216571,0.330983
0.2995,0.0216805,0.331194
0.3005,0.0217037,0.331403
0.3015,0.0217266,0.331611
0.3025,0.0217494,0.331818
0.3035,0.021772,0.332023
0.3045,0.0217944,0.332227
0.3055,0.0218166,0.33243
0.3065,0.0218386,0.332632
0.3075,0.0218604,0.332832
0.3085,0.021882,0.333032
0.3095,0.0219035,0.33323
0.3105,0.0219247,0.333426
0.3115,0.0219458,0.333622
0.3125,0.0219667,0.333817
0.3135,0.0219874,0.33401
0.3145,0.022008,0.334202
0.3155,0.0220283,0.334393
0.3165,0.0220486,0.334583
0.3175,0.0220686,0.334772
0.3185,0.0220885,0.33496
0.3195,0.0221082,0.335146
0.3205,0.0221277,0.335332
0.3215,0.0221471,0.335516
0.3225,0.0221663,0.335699
0.3235,0.0221854,0.335882
0.3245,0.0222043,0.336063
0.3255,0.0222231,0.336243
0.3265,0.0222417,0.336423
0.3275,0.0222602,0.336601
0.3285,0.0222785,0.336778
0.3295,0.0222966,0.336954
0.3305,0.0223147,0.337129
0.3315,0.0223326,0.337304
0.3325,0.0223503,0.337477
0.3335,0.0223679,0.337649
0.3345,0.0223854,0.33782
0.3355,0.0224027,0.337991
0.3365,0.0224199,0.33816
0.3375,0.022437,0.338329
0.3385,0.0224539,0.338496
0.3395,0.0224707,0.338663
0.3405,0.0224874,0.338829
0.3415,0.0225039,0.338994
0.3425,0.0225203,0.339158
0.3435,0.0225366,0.339321
0.3445,0.0225528,0.339483
