y,h
0.2442,-1.46423
0.243,-1.47822
0.2418,-1.4927
0.2406,-1.50769
0.2394,-1.52323
0.2382,-1.53935
0.237,-1.55608
0.2358,-1.57347
0.2346,-1.59155
0.2334,-1.61038
0.2322,-1.63
0.231,-1.65047
0.2298,-1.67186
0.2286,-1.69423
0.2274,-1.71766
0.2262,-1.74223
0.225,-1.76803
0.2238,-1.79518
0.2226,-1.82379
0.2214,-1.854
0.2202,-1.88595
0.219,-1.91981
0.2178,-1.95579
0.2166,-1.9941
0.2154,-2.03501
0.2142,-2.07881
0.213,-2.12586
0.2118,-2.17657
0.2106,-2.23142
0.2094,-2.291
0.2082,-2.35601
0.207,-2.42731
0.2058,-2.50594
0.2046,-2.5932
0.2034,-2.69071
0.2022,-2.80058
0.201,-2.9255
0.1998,-3.06901
0.1986,-3.23587
0.1974,-3.43256
0.1962,-3.66807
0.195,-3.95507
0.1938,-4.31153
0.1926,-4.76239
0.1914,-5.33967
0.1902,-6.07447
0.189,-6.96779
0.1878,-7.93716
0.1866,-8.80329
0.1854,-9.40767
0.1842,-9.74058
0.183,-9.89445
0.1818,-9.95859
0.1806,-9.98401
0.1794,-9.99387
0.1782,-9.99765
0.177,-9.9991
0.1758,-9.99966
0.1746,-9.99987
0.1734,-9.99995
0.1722,-9.99998
0.171,-9.99999
0.1698,-10
0.1686,-10
0.1674,-10
0.1662,-10
0.165,-10
0.1638,-10
0.1626,-10
0.1614,-10
0.1602,-10
0.159,-10
0.1578,-10
0.1566,-10
0.1554,-10
0.1542,-10
0.153,-10
0.1518,-10
0.1506,-10
0.1494,-10
0.1482,-10
0.147,-10
0.1458,-10
0.1446,-10
0.1434,-10
0.1422,-10
0.141,-10
0.1398,-10
0.1386,-10
0.1374,-10
0.1362,-10
0.135,-10
0.1338,-10
0.1326,-10
0.1314,-10
0.1302,-10
0.129,-10
0.1278,-10
0.1266,-10
0.1254,-10
0.1242,-10
0.123,-10
0.1218,-10
0.1206,-10
0.1194,-10
0.1182,-10
0.117,-10
0.1158,-10
0.1146,-10
0.1134,-10
0.1122,-10
0.111,-10
0.1098,-10
0.1086,-10
0.1074,-10
0.1062,-10
0.105,-10
0.1038,-10
0.1026,-10
0.1014,-10
0.1002,-10
0.099,-10
0.0978,-10
0.0966,-10
0.0954,-10
0.0942,-10
0.093,-10
0.0918,-10
0.0906,-10
0.0894,-10
0.0882,-10
0.087,-10
0.0858,-10
0.0846,-10
0.0834,-10
0.0822,-10
0.081,-10
0.0798,-10
0.0786,-10
0.0774,-10
0.0762,-10
0.075,-10
0.0738,-10
0.0726,-10
0.0714,-10
0.0702,-10
0.069,-10
0.0678,-10
0.0666,-10
0.0654,-10
0.0642,-10
0.063,-10
0.0618,-10
0.0606,-10
0.0594,-10
0.0582,-10
0.057,-10
0.0558,-10
0.0546,-10
0.0534,-10
0.0522,-10
0.051,-10
0.0498,-10
0.0486,-10
0.0474,-10
0.0462,-10
0.045,-10
0.0438,-10
0.0426,-10
0.0414,-10
0.0402,-10
0.039,-10
0.0378,-10
0.0366,-10
0.0354,-10
0.0342,-10
0.033,-10
0.0318,-10
0.0306,-10
0.0294,-10
0.0282,-10
0.027,-10
0.0258,-10
0.0246,-10
0.0234,-10
0.0222,-10
0.021,-10
0.0198,-10
0.0186,-10
0.0174,-10
0.0162,-10
0.015,-10
0.0138,-10
0.0126,-10
0.0114,-10
0.0102,-10
0.009,-10
0.0078,-10
0.0066,-10
0.0054,-10
0.0042,-10
0.003,-10
0.0018,-10
0.0006,-10
