#Time flux(top) flux(bottom)
32723556.19 -6.510409759e-07 3.585127642e-08
32726629.94 -6.517764669e-07 3.584457026e-08
32729700.59 -6.525112082e-07 3.583787184e-08
32732747.46 -6.532427358e-07 3.583122623e-08
32735796.39 -6.539716666e-07 3.582457709e-08
32738834.57 -6.546995584e-07 3.581795232e-08
32741873.09 -6.55426205e-07 3.581132778e-08
32744905.43 -6.561521534e-07 3.580471763e-08
32747936.79 -6.568772458e-07 3.579811059e-08
32750964.03 -6.576017278e-07 3.579151346e-08
32753989.63 -6.583255213e-07 3.578492086e-08
32757012.17 -6.590487521e-07 3.577833587e-08
32760032.85 -6.597713949e-07 3.577175587e-08
32763051.07 -6.604935223e-07 3.576518215e-08
32766067.4 -6.612151286e-07 3.575861352e-08
32769061.42 -6.6193384e-07 3.57520944e-08
32772058.12 -6.626502054e-07 3.574557036e-08
32775045.08 -6.633657265e-07 3.573906847e-08
32778033.1 -6.640802105e-07 3.573256517e-08
32781015.96 -6.647942038e-07 3.572607406e-08
32783998.66 -6.655075598e-07 3.571958422e-08
32786978.28 -6.662205281e-07 3.571310201e-08
32789957.2 -6.669330453e-07 3.570662223e-08
32792934.11 -6.67645239e-07 3.570014777e-08
32795910.17 -6.683570903e-07 3.569367607e-08
32798863.73 -6.690661497e-07 3.568725421e-08
32801821 -6.697729621e-07 3.568082521e-08
32804768.94 -6.704791019e-07 3.567441741e-08
32807718.86 -6.71184362e-07 3.566800623e-08
32810664.25 -6.718893178e-07 3.566160579e-08
32813610.37 -6.725938198e-07 3.565520469e-08
32816554.15 -6.732981296e-07 3.564880957e-08
32819498.15 -6.740021851e-07 3.564241491e-08
32822419.81 -6.747035953e-07 3.563606966e-08
32825345.87 -6.754028612e-07 3.562971576e-08
32828262.95 -6.761015785e-07 3.562338227e-08
32831182.67 -6.76799538e-07 3.561704394e-08
32834098.37 -6.774973332e-07 3.561071524e-08
32837015.5 -6.781948178e-07 3.560438435e-08
32839930.94 -6.788922719e-07 3.5598058e-08
32842826.14 -6.795871039e-07 3.559177649e-08
32845724.96 -6.80279947e-07 3.558548803e-08
32848616.05 -6.809722989e-07 3.557921721e-08
32851509.69 -6.816640329e-07 3.557294174e-08
32854400.29 -6.82355707e-07 3.556667379e-08
32857292.58 -6.830472195e-07 3.556040304e-08
32860163.36 -6.837363631e-07 3.555417981e-08
32863039.33 -6.844235549e-07 3.554794622e-08
32865907.11 -6.851103873e-07 3.554173127e-08
32868778.38 -6.857966585e-07 3.553550962e-08
32871646.6 -6.864829826e-07 3.552929547e-08
32874517.19 -6.871692242e-07 3.552307708e-08
32877366.15 -6.878531621e-07 3.551690642e-08
32880220.94 -6.88535212e-07 3.551072399e-08
32883067.72 -6.892170008e-07 3.550455981e-08
32885918.62 -6.898983237e-07 3.549838756e-08
32888766.84 -6.905798206e-07 3.549222198e-08
32891597.94 -6.912589497e-07 3.548609434e-08
32894432.31 -6.919364208e-07 3.54799605e-08
32897260.82 -6.926135824e-07 3.547384019e-08
32900092.35 -6.932904052e-07 3.546771422e-08
32902922.39 -6.939674114e-07 3.546159233e-08
32905735.09 -6.946421662e-07 3.545550881e-08
32908551.73 -6.953153181e-07 3.544941764e-08
32911362.59 -6.959882494e-07 3.544333982e-08
32914177 -6.96660914e-07 3.543725519e-08
32916990.17 -6.973338559e-07 3.543117408e-08
32919785.98 -6.980045734e-07 3.542513137e-08
32922586.15 -6.986737349e-07 3.54190801e-08
32925380.78 -6.993427566e-07 3.541304162e-08
32928179.45 -7.000115989e-07 3.54069953e-08
32930958.14 -7.006785347e-07 3.540099296e-08
32933743.28 -7.013438526e-07 3.539497756e-08
32936521.55 -7.020091208e-07 3.538897781e-08
32939304.88 -7.026741727e-07 3.538296801e-08
32942086.81 -7.033396615e-07 3.537696206e-08
32944852.21 -7.040030072e-07 3.537099264e-08
32947622.2 -7.046649243e-07 3.536501417e-08
32950387.51 -7.053268304e-07 3.535904663e-08
32953157.36 -7.059887201e-07 3.535307013e-08
32955907.01 -7.066487373e-07 3.534713805e-08
32958663.97 -7.073072131e-07 3.534119104e-08
32961414.53 -7.079657971e-07 3.533525867e-08
32964170.99 -7.086243212e-07 3.532931441e-08
32966906.77 -7.092810785e-07 3.532341556e-08
32969650.55 -7.099363197e-07 3.53175003e-08
32972387.81 -7.105917378e-07 3.531159992e-08
32975131.45 -7.112471398e-07 3.530568661e-08
32977854.34 -7.119008235e-07 3.529981885e-08
32980585.61 -7.125530266e-07 3.529393388e-08
32983310.5 -7.132054686e-07 3.528806345e-08
32986042.16 -7.138579588e-07 3.528217926e-08
32988752.85 -7.145087513e-07 3.527634106e-08
32991472.37 -7.151580918e-07 3.527048467e-08
32994185.71 -7.158077482e-07 3.526464241e-08
32996906.25 -7.164575265e-07 3.525878546e-08
32999605.33 -7.171056006e-07 3.525297552e-08
33002313.92 -7.177522448e-07 3.524714594e-08
33005016.36 -7.183992911e-07 3.524133038e-08
33007707.14 -7.190442081e-07 3.523554075e-08
33010400.48 -7.196880359e-07 3.522974641e-08
33013092.03 -7.20331957e-07 3.522395671e-08
33015788.02 -7.209761953e-07 3.521815829e-08
33018465.34 -7.216187307e-07 3.521240083e-08
33021150.79 -7.222600062e-07 3.520662667e-08
33023831.59 -7.229016981e-07 3.520086333e-08
33026500.31 -7.235413883e-07 3.519512677e-08
33029172.48 -7.241800473e-07 3.518938357e-08
33031842.9 -7.248189105e-07 3.518364493e-08
33034518.5 -7.254581834e-07 3.517789597e-08
33037175.2 -7.260958151e-07 3.517218841e-08
33039840.81 -7.267322515e-07 3.516646252e-08
33042502.04 -7.273692297e-07 3.516074683e-08
33045150.94 -7.280042103e-07 3.51550584e-08
33047804.04 -7.286382201e-07 3.514936172e-08
33050455.76 -7.292725668e-07 3.514366882e-08
33053093.78 -7.299051089e-07 3.513800613e-08
33055737.1 -7.305366469e-07 3.513233283e-08
33058378.29 -7.311685642e-07 3.512666489e-08
33061006.92 -7.317987246e-07 3.512102469e-08
33063640.28 -7.324279484e-07 3.511537513e-08
33066272.06 -7.330575488e-07 3.510972973e-08
33068891.28 -7.336854594e-07 3.510411204e-08
33071515.49 -7.343124647e-07 3.509848444e-08
33074138.13 -7.349398785e-07 3.509286098e-08
33076748.51 -7.355656385e-07 3.508726459e-08
33079363.92 -7.361905337e-07 3.508165818e-08
33081978.02 -7.368158738e-07 3.507605536e-08
33084579.85 -7.374395905e-07 3.507047959e-08
33087186.97 -7.380624723e-07 3.506489328e-08
33089792.9 -7.386858447e-07 3.505931026e-08
33092386.57 -7.393076087e-07 3.50537543e-08
33094985.77 -7.399285673e-07 3.504818725e-08
33097584 -7.405500714e-07 3.504262304e-08
33100169.79 -7.411699719e-07 3.503708624e-08
33102761.48 -7.41789091e-07 3.503153756e-08
33105352.33 -7.424088148e-07 3.502599146e-08
33107930.57 -7.430269299e-07 3.50204731e-08
33110515.12 -7.436442919e-07 3.5014942e-08
33113098.98 -7.442623268e-07 3.500941312e-08
33115669.96 -7.448787382e-07 3.50039126e-08
33118247.68 -7.454944147e-07 3.499839838e-08
33120824.88 -7.461108365e-07 3.499288604e-08
33123388.86 -7.46725615e-07 3.498740273e-08
33125960.11 -7.473396813e-07 3.498190463e-08
33128512.48 -7.479523594e-07 3.497644765e-08
33131074.81 -7.485639706e-07 3.497097013e-08
33133633.48 -7.491763352e-07 3.496550117e-08
33136182.19 -7.497870712e-07 3.496005427e-08
33138735.93 -7.503972173e-07 3.495459735e-08
33141290.53 -7.510080679e-07 3.494913935e-08
33143831.82 -7.516174302e-07 3.494371052e-08
33146380.95 -7.522261391e-07 3.493826568e-08
33148911.49 -7.528335622e-07 3.493286129e-08
33151452.36 -7.534399966e-07 3.49274356e-08
33153989.94 -7.540472731e-07 3.492201765e-08
33156517.72 -7.546529846e-07 3.491662138e-08
33159051.06 -7.552581893e-07 3.491121396e-08
33161585.71 -7.55864216e-07 3.49058045e-08
33164106.96 -7.56468796e-07 3.490042437e-08
33166636.81 -7.570728015e-07 3.489502663e-08
33169147.51 -7.576755458e-07 3.488967048e-08
33171669.55 -7.582773571e-07 3.488429085e-08
33174188.63 -7.588801702e-07 3.487891828e-08
33176697.59 -7.594814186e-07 3.487356803e-08
33179213.09 -7.6008224e-07 3.486820454e-08
33181711.27 -7.606817719e-07 3.486287872e-08
33184219.82 -7.612804716e-07 3.485753153e-08
33186726.37 -7.618801723e-07 3.485218933e-08
33189222.45 -7.624783827e-07 3.484687015e-08
33191725.65 -7.630761929e-07 3.484153653e-08
33194211.36 -7.636727621e-07 3.48362409e-08
33196707.93 -7.642685384e-07 3.483092285e-08
33199202.63 -7.648653904e-07 3.48256095e-08
33201686.89 -7.654607708e-07 3.482031911e-08
33204178.72 -7.66055808e-07 3.481501331e-08
33206652.74 -7.666496202e-07 3.480974616e-08
33209138.26 -7.672426776e-07 3.480445524e-08
33211603.98 -7.678347423e-07 3.479920718e-08
33214082.22 -7.684259369e-07 3.479393317e-08
33216557.42 -7.690182649e-07 3.478866637e-08
33219023.71 -7.696091642e-07 3.47834192e-08
33221496.85 -7.701998178e-07 3.47781582e-08
33223953.34 -7.707892985e-07 3.477293331e-08
33226420.99 -7.713781229e-07 3.47676854e-08
33228869.55 -7.719659985e-07 3.47624788e-08
33231330.6 -7.725530859e-07 3.475724632e-08
33233789.19 -7.731413733e-07 3.475201979e-08
33236238.83 -7.737282947e-07 3.4746813e-08
33238695.94 -7.743150386e-07 3.474159103e-08
33241136.14 -7.74900655e-07 3.473640568e-08
33243588.26 -7.754856753e-07 3.473119571e-08
33246020.82 -7.760697804e-07 3.472602801e-08
33248466.79 -7.766531501e-07 3.472083251e-08
33250892.76 -7.772357326e-07 3.471568018e-08
33253332.32 -7.778175492e-07 3.471049968e-08
33255769.18 -7.784006673e-07 3.470532562e-08
33258197.76 -7.789824725e-07 3.470016982e-08
33260633.97 -7.795642011e-07 3.469499852e-08
33263053.57 -7.80144855e-07 3.468986317e-08
33265485.59 -7.807250076e-07 3.468470216e-08
33267897.91 -7.813042894e-07 3.467958364e-08
33270324.48 -7.818829195e-07 3.467443557e-08
33272730.53 -7.824608002e-07 3.466933172e-08
33275151.29 -7.830379859e-07 3.466419735e-08
33277551.66 -7.836144921e-07 3.465910691e-08
33279966.6 -7.841903024e-07 3.465398626e-08
33282361.62 -7.847654736e-07 3.464890851e-08
33284770.87 -7.853399645e-07 3.464380129e-08
33287177.79 -7.859158778e-07 3.463869969e-08
33289576.88 -7.864905763e-07 3.463361536e-08
33291984.32 -7.870653373e-07 3.462851401e-08
33294375.12 -7.876391066e-07 3.462344861e-08
33296779.4 -7.882124982e-07 3.461835532e-08
33299163.53 -7.887850925e-07 3.46133054e-08
33301563.31 -7.893571487e-07 3.4608223e-08
33303941.73 -7.899285216e-07 3.460318652e-08
33306336.55 -7.904993008e-07 3.459811598e-08
33308709.75 -7.910694564e-07 3.459309188e-08
33311099.55 -7.916390127e-07 3.458803331e-08
33313467.83 -7.922079803e-07 3.458302096e-08
33315852.68 -7.92776355e-07 3.457797422e-08
33318216.22 -7.933441635e-07 3.457297323e-08
33320596.27 -7.939113979e-07 3.456793799e-08
33322955.26 -7.944780883e-07 3.456294795e-08
33325330.66 -7.95044223e-07 3.455792387e-08
33327685.22 -7.956098277e-07 3.455294453e-08
33330056.16 -7.961748991e-07 3.454793121e-08
33332406.37 -7.967394503e-07 3.454296239e-08
33334773.04 -7.973034903e-07 3.453795944e-08
33337119.01 -7.978670239e-07 3.453300088e-08
33339481.59 -7.984300681e-07 3.45280079e-08
33341823.44 -7.989926196e-07 3.452305936e-08
33344182.03 -7.995546952e-07 3.451807611e-08
33346519.85 -8.001162877e-07 3.451313741e-08
33348874.64 -8.006774259e-07 3.45081635e-08
33351208.5 -8.012380904e-07 3.450323448e-08
33353559.64 -8.017983179e-07 3.44982696e-08
33355889.64 -8.023580849e-07 3.449335001e-08
33358237.27 -8.029174321e-07 3.448839385e-08
33360563.5 -8.034763282e-07 3.448348352e-08
33362907.73 -8.040348175e-07 3.447853585e-08
33365230.26 -8.045928648e-07 3.447363461e-08
33367571.19 -8.051505183e-07 3.44686952e-08
33369890.11 -8.057077389e-07 3.446380289e-08
33372227.89 -8.062645826e-07 3.445887143e-08
33374543.26 -8.068210023e-07 3.445398788e-08
33376877.96 -8.073770539e-07 3.444906421e-08
33379189.89 -8.079326945e-07 3.44441892e-08
33381504.78 -8.084859651e-07 3.443930861e-08
33383817.89 -8.090393778e-07 3.443443238e-08
33386123.39 -8.095916682e-07 3.442957284e-08
33388436.54 -8.101439624e-07 3.442469782e-08
33390736.22 -8.106955603e-07 3.441985183e-08
33393048.41 -8.11247043e-07 3.441498012e-08
33395343.77 -8.117980105e-07 3.441014447e-08
33397654.49 -8.123488016e-07 3.440527714e-08
33399946.29 -8.12899166e-07 3.440045028e-08
33402255.33 -8.134493313e-07 3.439558773e-08
33404544.01 -8.139991238e-07 3.439076869e-08
33406851.37 -8.145487137e-07 3.438591098e-08
33409137.16 -8.150979581e-07 3.438109929e-08
33411425.65 -8.156449474e-07 3.437628254e-08
33413713.39 -8.161921693e-07 3.437146801e-08
33415993.24 -8.167383576e-07 3.436667071e-08
33418281.92 -8.172846587e-07 3.436185545e-08
33420556.64 -8.178303455e-07 3.43570702e-08
33422845.29 -8.183760285e-07 3.435225626e-08
33425116.4 -8.189212814e-07 3.434747983e-08
33427404.55 -8.194664741e-07 3.434266821e-08
33429672.79 -8.200113229e-07 3.433789907e-08
33431943.1 -8.205540385e-07 3.433312619e-08
33434213.56 -8.210970204e-07 3.432835362e-08
33436475.88 -8.216390472e-07 3.432359877e-08
33438747.8 -8.221812481e-07 3.431882437e-08
33441005.53 -8.227228989e-07 3.431408042e-08
33443278.03 -8.232646202e-07 3.430930603e-08
33445532.67 -8.238059723e-07 3.43045698e-08
33447788.5 -8.243453296e-07 3.429983168e-08
33450045.36 -8.248849537e-07 3.429509199e-08
33452293.85 -8.254237e-07 3.429037051e-08
33454552.43 -8.259626513e-07 3.428562845e-08
33456796.8 -8.265011099e-07 3.428091685e-08
33459056.42 -8.27039693e-07 3.427617383e-08
33461298.13 -8.275779582e-07 3.427146902e-08
33463541.19 -8.281142437e-07 3.426676197e-08
33465785.68 -8.286508615e-07 3.426205255e-08
33468021.67 -8.29186633e-07 3.425736157e-08
33470268.43 -8.297226762e-07 3.42526486e-08
33472500.64 -8.302582677e-07 3.424796674e-08
33474732.49 -8.307920768e-07 3.424328625e-08
33476966.92 -8.31326151e-07 3.423860095e-08
33479192.45 -8.318594691e-07 3.423393492e-08
33481429.07 -8.323930491e-07 3.422924624e-08
33483651.27 -8.329262314e-07 3.422458838e-08
33485889.67 -8.334596258e-07 3.421989719e-08
33488109.95 -8.339927898e-07 3.421524457e-08
33490331.85 -8.345239823e-07 3.421058913e-08
33492555.87 -8.350556217e-07 3.420592988e-08
33494771.12 -8.355864657e-07 3.420128957e-08
33496998.41 -8.36117701e-07 3.419662466e-08
33499210.51 -8.366485597e-07 3.419199214e-08
33501422.44 -8.371775822e-07 3.418736058e-08
33503637.87 -8.377070023e-07 3.418272229e-08
33505843.8 -8.38235704e-07 3.41781045e-08
33508062.48 -8.387647941e-07 3.41734606e-08
33510265.65 -8.392935561e-07 3.416884973e-08
33512468.98 -8.398204818e-07 3.416423915e-08
33514675.86 -8.40347851e-07 3.415962171e-08
33516873.31 -8.408745177e-07 3.41550246e-08
33519067.49 -8.413996645e-07 3.415043492e-08
33521266.91 -8.419250474e-07 3.414583486e-08
33523456.24 -8.424498506e-07 3.414125649e-08
33525658.54 -8.429749982e-07 3.413665158e-08
33527845.8 -8.434998982e-07 3.413207872e-08
33530033.69 -8.440230746e-07 3.412750511e-08
33532224.98 -8.44546733e-07 3.412292499e-08
33534407.5 -8.450697499e-07 3.411836376e-08
33536602.9 -8.455932576e-07 3.411377623e-08
33538783.34 -8.461165157e-07 3.410922052e-08
33540964 -8.46638013e-07 3.410466492e-08
33543149.02 -8.471600579e-07 3.410010081e-08
33545324.53 -8.476814859e-07 3.409555714e-08
33547496.94 -8.482014067e-07 3.409102052e-08
33549675.44 -8.487216851e-07 3.408647176e-08
33551843.55 -8.492414491e-07 3.408194527e-08
33554009.8 -8.497597484e-07 3.407742323e-08
33556181.03 -8.502784198e-07 3.407289139e-08
33558342.94 -8.507965731e-07 3.406837955e-08
33560518.22 -8.513152116e-07 3.406384039e-08
33562678.79 -8.51833689e-07 3.405933251e-08
33564840.09 -8.523504944e-07 3.405482367e-08
33567005.86 -8.528679217e-07 3.405030608e-08
33569162.54 -8.533847965e-07 3.404580802e-08
33571316.29 -8.539002335e-07 3.404131664e-08
33573476.63 -8.544161091e-07 3.403681208e-08
33575626.65 -8.549315388e-07 3.403232961e-08
33577774.95 -8.554455279e-07 3.402785129e-08
33579928.92 -8.559599896e-07 3.402336172e-08
33582073.43 -8.564739977e-07 3.401889244e-08
33584215.97 -8.569866396e-07 3.401442781e-08
33586364.33 -8.574997417e-07 3.400995164e-08
33588503.35 -8.580124223e-07 3.400549548e-08
33590640.61 -8.585237765e-07 3.400104355e-08
33592783.6 -8.59035605e-07 3.399658025e-08
33594917.49 -8.595470304e-07 3.399213647e-08
33597049.71 -8.600571687e-07 3.398769673e-08
33599187.71 -8.605677988e-07 3.398324553e-08
33601316.8 -8.610780537e-07 3.39788135e-08
33603444.33 -8.615870566e-07 3.397438531e-08
33605577.76 -8.620965786e-07 3.396994555e-08
33607702.44 -8.626057595e-07 3.396552475e-08
33609825.69 -8.631137228e-07 3.39611079e-08
33611955.02 -8.636222422e-07 3.395667966e-08
33614075.74 -8.641304606e-07 3.395227114e-08
33616195.26 -8.646375048e-07 3.394786803e-08
33618321.08 -8.651451582e-07 3.394345661e-08
33620438.59 -8.656525729e-07 3.393907058e-08
33622555.25 -8.661588912e-07 3.393470067e-08
33624678.44 -8.666658882e-07 3.393034301e-08
33626793.88 -8.671727403e-07 3.39260472e-08
33628924.38 -8.67680467e-07 3.392180546e-08
33631042.2 -8.681884771e-07 3.391774074e-08
33633162.95 -8.686953213e-07 3.39139473e-08
33635290.35 -8.692033119e-07 3.391065107e-08
33637411.83 -8.697113897e-07 3.390828762e-08
33639534.05 -8.702188478e-07 3.390761068e-08
33641665.62 -8.707275118e-07 3.391004988e-08
33643792.91 -8.712367826e-07 3.391816513e-08
33645937.53 -8.717476142e-07 3.393696627e-08
33648076.23 -8.722598096e-07 3.397506348e-08
33650237.37 -8.727739807e-07 3.404997021e-08
33652394.79 -8.732903905e-07 3.419125612e-08
33654578.91 -8.738095488e-07 3.44597636e-08
33656778.03 -8.743336933e-07 3.496354404e-08
33658996.06 -8.748618915e-07 3.590519718e-08
33661245.73 -8.753961356e-07 3.766957732e-08
33663533.75 -8.759387489e-07 4.09648953e-08
33665875.69 -8.764923954e-07 4.710257062e-08
33667840.38 -8.770073782e-07 5.531338988e-08
33669882.31 -8.774864867e-07 6.89150018e-08
33671890.14 -8.779707537e-07 8.936764814e-08
33673940.53 -8.784560322e-07 1.20103088e-07
33676014.11 -8.789491738e-07 1.632191532e-07
33678143.44 -8.794517541e-07 2.203544259e-07
33680327.49 -8.799675441e-07 2.895998378e-07
33682597.66 -8.805001761e-07 3.666718692e-07
33684986.7 -8.810573202e-07 4.449121322e-07
33687562.67 -8.816510314e-07 5.180255127e-07
33690422.68 -8.823010614e-07 5.811400828e-07
33693726.01 -8.830380686e-07 6.317806129e-07
33697729.05 -8.839117584e-07 6.695234326e-07
33702732.88 -8.849887921e-07 6.951511257e-07
33708987.71 -8.863350935e-07 7.10890902e-07
33716806.18 -8.880179671e-07 7.201712828e-07
33726579.5 -8.901215778e-07 7.261250124e-07
33738796.5 -8.927511615e-07 7.3093683e-07
33754068.04 -8.960382177e-07 7.358992196e-07
33773157.02 -9.00147019e-07 7.417298635e-07
33797019.61 -9.052831321e-07 7.488828107e-07
33826847.86 -9.117034373e-07 7.577486365e-07
33864131.49 -9.197286187e-07 7.687381444e-07
33910733.42 -9.297595828e-07 7.823547633e-07
33968989.91 -9.422984639e-07 7.991952887e-07
34041810.53 -9.579725539e-07 8.199224548e-07
34132846.29 -9.775663605e-07 8.451715814e-07
34246609.77 -1.00205608e-06 8.755142099e-07
34388765.34 -1.032658662e-06 9.117884725e-07
34566459.8 -1.070906057e-06 9.555259455e-07
34571457.33 -1.092752211e-06 9.567825318e-07
34577704.16 -1.094096803e-06 9.583550862e-07
34585512.63 -1.095777523e-06 9.603126092e-07
34595273.32 -1.097878428e-06 9.627492649e-07
34607474.01 -1.100504551e-06 9.657860972e-07
34622724.59 -1.103787151e-06 9.695724375e-07
34641788.25 -1.107890418e-06 9.742913838e-07
34665618.52 -1.113019638e-06 9.801690561e-07
34695408.5 -1.119431501e-06 9.874875001e-07
34732647.65 -1.127446788e-06 9.966062679e-07
34779201.83 -1.137466724e-06 1.008055593e-06
34837398.66 -1.149992761e-06 1.022845666e-06
34910157.51 -1.165652331e-06 1.042746161e-06
35001116.11 -1.185229524e-06 1.069342718e-06
35114830.02 -1.209704088e-06 1.102361447e-06
35256972.4 -1.240299167e-06 1.140521552e-06
35260973.93 -1.257774933e-06 1.141609896e-06
35265975.88 -1.258851561e-06 1.142968454e-06
35272228.36 -1.260197355e-06 1.144657654e-06
35280043.88 -1.261879595e-06 1.146755255e-06
35289813.17 -1.263982371e-06 1.149357639e-06
35302024.78 -1.266610828e-06 1.152580691e-06
35317288.72 -1.269896332e-06 1.156561773e-06
35336369.1 -1.274003196e-06 1.161463283e-06
35360219.56 -1.27913683e-06 1.167482579e-06
35390034.81 -1.285554131e-06 1.174865809e-06
35427302.18 -1.293575812e-06 1.183950418e-06
35473883.75 -1.303602398e-06 1.195382103e-06
35532102.47 -1.316134328e-06 1.210398343e-06
35604875.88 -1.331798256e-06 1.230514967e-06
35695852.71 -1.35137937e-06 1.25620205e-06
35809558 -1.375855084e-06 1.286659459e-06
35951714.23 -1.406450788e-06 1.32178135e-06
36129448.01 -1.444702964e-06 1.363308822e-06
36132650.24 -1.466339139e-06 1.364068891e-06
36136653.05 -1.467200711e-06 1.365020307e-06
36141656.51 -1.468277675e-06 1.366204834e-06
36147910.89 -1.469623877e-06 1.367678341e-06
36155729.01 -1.471306653e-06 1.369513899e-06
36165501.42 -1.473410114e-06 1.37180276e-06
36177716.93 -1.476039412e-06 1.374656951e-06
36192986.04 -1.479326e-06 1.378213967e-06
36212073.32 -1.483434308e-06 1.382646697e-06
36235931.72 -1.488569716e-06 1.388171028e-06
36265755.81 -1.494989022e-06 1.395084089e-06
36303035.92 -1.503013285e-06 1.403898972e-06
36349633.41 -1.513043297e-06 1.415720997e-06
36407871.97 -1.525579503e-06 1.432188115e-06
36480676.66 -1.541249543e-06 1.454109723e-06
36571672.38 -1.560836658e-06 1.480436987e-06
36685401.21 -1.585317447e-06 1.510044895e-06
36827537.5 -1.615913581e-06 1.543826038e-06
37005285.29 -1.654165047e-06 1.584273744e-06
37007842.11 -1.675725718e-06 1.584863624e-06
37011038.16 -1.676413641e-06 1.585602581e-06
37015033.18 -1.677273544e-06 1.586523762e-06
37020026.9 -1.67834841e-06 1.587670558e-06
37026268.95 -1.679691974e-06 1.589099894e-06
37034071.59 -1.681371426e-06 1.590883874e-06
37043824.77 -1.683470736e-06 1.593111469e-06
37056016.61 -1.686094904e-06 1.595892364e-06
37071256.42 -1.689375157e-06 1.599363466e-06
37090305.73 -1.69347542e-06 1.603695716e-06
37114115.97 -1.698600529e-06 1.609111878e-06
37143877.69 -1.705006619e-06 1.615972359e-06
37181076.44 -1.713013695e-06 1.625045735e-06
37227569.56 -1.723021498e-06 1.637772374e-06
37285681.82 -1.735530121e-06 1.655404985e-06
37358322.14 -1.751165403e-06 1.677494272e-06
37449132.68 -1.770710718e-06 1.702540648e-06
37562645.86 -1.795143575e-06 1.730415502e-06
37704512.54 -1.825681682e-06 1.762927332e-06
37881884.66 -1.863855987e-06 1.802585885e-06
37883929.77 -1.885310547e-06 1.803048765e-06
37886486.16 -1.885860791e-06 1.803629025e-06
37889681.65 -1.886548596e-06 1.804353298e-06
37893675.99 -1.88740835e-06 1.80525566e-06
37898668.95 -1.888483043e-06 1.806380709e-06
37904910.1 -1.889826408e-06 1.807785472e-06
37912711.38 -1.89150559e-06 1.809540964e-06
37922462.75 -1.893604522e-06 1.811734769e-06
37934651.78 -1.896228136e-06 1.81447595e-06
37949887.78 -1.899507598e-06 1.817900362e-06
37968932.34 -1.903606838e-06 1.822180587e-06
37992739.43 -1.908731002e-06 1.827564817e-06
38022498.29 -1.915136373e-06 1.83455728e-06
38059700.29 -1.923143497e-06 1.844254761e-06
38106208.13 -1.933153448e-06 1.858127459e-06
38164338.76 -1.945666027e-06 1.876523074e-06
38237008.57 -1.961307032e-06 1.898081375e-06
38327835.62 -1.980857848e-06 1.921733515e-06
38441369.45 -2.005295149e-06 1.948391257e-06
38583336.61 -2.03584774e-06 1.980228045e-06
38760717.56 -2.074035117e-06 2.019494753e-06
38762762.21 -2.095490678e-06 2.019952676e-06
38765318.04 -2.0960408e-06 2.020526533e-06
38768512.83 -2.096728455e-06 2.021242667e-06
38772506.28 -2.097588018e-06 2.022135103e-06
38777498.16 -2.098662475e-06 2.023248443e-06
38783737.9 -2.100005542e-06 2.024639414e-06
38791537.43 -2.101684347e-06 2.02637846e-06
38801286.96 -2.103782848e-06 2.028552576e-06
38813474.05 -2.106406011e-06 2.031270229e-06
38828707.63 -2.109684952e-06 2.034666885e-06
38847749.61 -2.113783594e-06 2.038921357e-06
38871553.49 -2.118907065e-06 2.044339474e-06
38901309.43 -2.125311704e-06 2.051638695e-06
38938506.08 -2.133317838e-06 2.062154431e-06
38985001.9 -2.143325712e-06 2.076988727e-06
39043130.05 -2.155836557e-06 2.095538933e-06
39115796.81 -2.171476903e-06 2.116201168e-06
39206640.52 -2.191029345e-06 2.13870802e-06
39320195.15 -2.215471125e-06 2.164610805e-06
39462138.44 -2.24602335e-06 2.196059697e-06
39639528.34 -2.284208942e-06 2.235092608e-06
39641165.54 -2.305616851e-06 2.235456711e-06
39643212.03 -2.306057344e-06 2.235913256e-06
39645770.13 -2.306607956e-06 2.23648347e-06
39648967.75 -2.30729622e-06 2.237194165e-06
39652964.73 -2.308156545e-06 2.238080344e-06
39657960.9 -2.309231938e-06 2.239187071e-06
39664206.21 -2.310576184e-06 2.240570808e-06
39672013 -2.312256522e-06 2.242301257e-06
39681771.24 -2.314356934e-06 2.244464877e-06
39693969.24 -2.316982442e-06 2.247169525e-06
39709216.15 -2.320264281e-06 2.250551942e-06
39728275.7 -2.324366618e-06 2.25481154e-06
39752100.84 -2.329494733e-06 2.260372486e-06
39781881.16 -2.335904828e-06 2.268225926e-06
39819106.56 -2.343917315e-06 2.279748104e-06
39865643.71 -2.35393357e-06 2.295312804e-06
39923810.93 -2.366454031e-06 2.313537535e-06
39996506.75 -2.382102522e-06 2.333142183e-06
40087366.2 -2.401660322e-06 2.354713877e-06
40200940.51 -2.426106338e-06 2.380120721e-06
40342857.97 -2.456657828e-06 2.411331909e-06
40344495.25 -2.473823981e-06 2.41169436e-06
40346541.85 -2.474264496e-06 2.412147859e-06
40349100.11 -2.474815142e-06 2.412714377e-06
40352297.93 -2.475503449e-06 2.413421723e-06
40356295.22 -2.476363833e-06 2.414305156e-06
40361291.89 -2.477439323e-06 2.415408981e-06
40367537.78 -2.478783699e-06 2.416788433e-06
40375345.29 -2.480464194e-06 2.418512281e-06
40385104.69 -2.48256483e-06 2.4206665e-06
40397303.93 -2.485190625e-06 2.423358579e-06
40412553.57 -2.488472939e-06 2.426727346e-06
40431615.61 -2.492575901e-06 2.430990454e-06
40455442.46 -2.497704518e-06 2.436632749e-06
40485224.9 -2.504115071e-06 2.444645661e-06
