#Time flux(top) flux(bottom)
24874430.18 -2.481655732e-08 4.753290204e-09
24988816.58 -2.426671852e-08 4.753307959e-09
25102092.42 -2.37227844e-08 4.75333305e-09
25214062.91 -2.318462239e-08 4.753369752e-09
25325108.62 -2.265178867e-08 4.753425615e-09
25434967.04 -2.212400115e-08 4.753513198e-09
25543866 -2.160134265e-08 4.753654893e-09
25651754.77 -2.108339009e-08 4.753889818e-09
25758848.28 -2.056975113e-08 4.754288995e-09
25864898.89 -2.006050391e-08 4.75497755e-09
25970307.55 -1.955528218e-08 4.756190553e-09
26074829.89 -1.905371183e-08 4.758350334e-09
26178665.81 -1.855589908e-08 4.762250914e-09
26281762.69 -1.806149206e-08 4.76936203e-09
26384311.82 -1.757015945e-08 4.782475792e-09
26486198.96 -1.708171716e-08 4.806793733e-09
26587787.84 -1.659556914e-08 4.8523845e-09
26688961.83 -1.611112499e-08 4.938030914e-09
26790076.78 -1.562781314e-08 5.099736905e-09
26891428.41 -1.514407688e-08 5.404902599e-09
26993678.01 -1.465762972e-08 5.978711417e-09
27097898.68 -1.416432777e-08 7.04508718e-09
27188423.34 -1.369903923e-08 8.53690309e-09
27281583.22 -1.32601773e-08 1.090239907e-08
27372775.63 -1.281971999e-08 1.416347095e-08
27465785.99 -1.237961993e-08 1.839866173e-08
27560170.13 -1.193189411e-08 2.32549016e-08
27658482.46 -1.147150073e-08 2.828494194e-08
27763185.69 -1.098645284e-08 3.295910412e-08
27879248.23 -1.045899586e-08 3.69088378e-08
28013822.71 -9.860170056e-09 3.994765537e-08
28179992.93 -9.14162622e-09 4.203776504e-08
28387755.94 -8.248219217e-09 4.32163511e-08
28647381.12 -7.131528189e-09 4.365487919e-08
28971912.59 -5.735852145e-09 4.354300641e-08
29377192.42 -3.992175782e-09 4.299882381e-08
29796413.08 -2.022266572e-09 4.224254355e-08
30113957.08 -5.249971167e-09 4.160781467e-08
30230877.96 -4.128291435e-08 4.136816629e-08
30258966.83 -5.862305743e-08 4.131030325e-08
30289495.8 -6.563252799e-08 4.124705207e-08
30304227.61 -7.104477335e-08 4.121644985e-08
30322642.78 -7.50084614e-08 4.117806938e-08
30345662.36 -7.996319395e-08 4.11298975e-08
30370976.35 -8.574288137e-08 4.107669667e-08
30397145.59 -9.18992021e-08 4.102146529e-08
30423592.32 -9.819097488e-08 4.096542052e-08
30449846.6 -1.044929167e-07 4.090956907e-08
30475732.12 -1.1072775e-07 4.085430275e-08
30501068.28 -1.168527953e-07 4.080002664e-08
30525805.43 -1.228405193e-07 4.074686705e-08
30549875.05 -1.286767911e-07 4.069499074e-08
30573273.3 -1.343529587e-07 4.064442435e-08
30595990.75 -1.398674347e-07 4.059520523e-08
30618048.56 -1.452216225e-07 4.05473029e-08
30639383.99 -1.504105494e-07 4.05008683e-08
30660123.71 -1.554418606e-07 4.045563824e-08
30680178.18 -1.603199952e-07 4.041181986e-08
30699642.46 -1.650456135e-07 4.03692158e-08
30718565.05 -1.696358829e-07 4.032772887e-08
30736925.29 -1.740941316e-07 4.028741254e-08
30754778.16 -1.78424465e-07 4.024815341e-08
30772134.86 -1.826347962e-07 4.02099334e-08
30788978.49 -1.867244421e-07 4.017279589e-08
30805405.15 -1.907028741e-07 4.013653415e-08
30821416.75 -1.945818139e-07 4.010114859e-08
30837004.93 -1.983604897e-07 4.006666203e-08
30852202.4 -2.020418119e-07 4.003300605e-08
30867076.46 -2.056377393e-07 4.000003486e-08
30881585.59 -2.091513561e-07 3.996784364e-08
30895781.71 -2.125839059e-07 3.993632e-08
30909659.78 -2.159409934e-07 3.990547773e-08
30923255.52 -2.192262888e-07 3.987523968e-08
30936577.05 -2.224450333e-07 3.984558994e-08
30949594.94 -2.255946785e-07 3.981659598e-08
30962388.22 -2.286811571e-07 3.978808354e-08
30974944.87 -2.317124801e-07 3.976008097e-08
30987250.13 -2.346854462e-07 3.973262268e-08
30999372.69 -2.376065044e-07 3.970555669e-08
31011248.22 -2.404761754e-07 3.967902793e-08
31022928.39 -2.432929462e-07 3.965292212e-08
31034393.79 -2.460606743e-07 3.962728377e-08
31045723.12 -2.487864486e-07 3.960193777e-08
31056848.78 -2.514715971e-07 3.957703627e-08
31067822.68 -2.541142435e-07 3.955246392e-08
31078620.52 -2.567176892e-07 3.952827591e-08
31089272.64 -2.592826574e-07 3.950440497e-08
31099772.47 -2.618119898e-07 3.948086653e-08
31110138.26 -2.64307083e-07 3.945762025e-08
31120323.4 -2.667645452e-07 3.943477134e-08
31130398.55 -2.691872527e-07 3.941216178e-08
31140338.48 -2.715806399e-07 3.938984869e-08
31150178.22 -2.739458762e-07 3.936775393e-08
31159858.86 -2.762801066e-07 3.93460102e-08
31169458.6 -2.785856381e-07 3.93244423e-08
31178901.55 -2.808627465e-07 3.930322112e-08
31188277.9 -2.831131422e-07 3.928214436e-08
31197505.1 -2.85337739e-07 3.926139792e-08
31206677.65 -2.875379665e-07 3.924076964e-08
31215708.38 -2.897146993e-07 3.922045589e-08
31224696.31 -2.918693548e-07 3.920023419e-08
